id,post_id,parent_comment_id,comment,sender_id,user_id,status,action,type,created_at,updated_at
1,,,,4,7,1,Followed,Following,2019-08-26 08:43:56,2019-08-26 17:20:28
2,,,,1,4,1,Followed,Following,2019-08-26 08:48:21,2019-08-26 12:05:42
3,,,,3,45,0,Followed,Following,2019-08-26 08:51:39,2019-08-26 08:51:39
5,,,,1,4,1,Followed,Following,2019-08-26 10:32:46,2019-08-26 12:05:42
7,278.0,,Hey bro!,1,4,1,Commented,Post,2019-08-26 14:13:17,2019-08-26 14:13:25
8,360.0,,"This is an interesting write-up. I have a question though, in the quest to create solutions that saves time for people, you end up spending quite a fair of time. Also, sometimes it might not really be worth it. What metric can be used to determine how to balance this appropriately?",3,7,1,Commented,Post,2019-08-26 17:10:20,2019-08-26 17:20:28
9,360.0,,A nice write up,4,7,1,Commented,Post,2019-08-26 17:13:14,2019-08-26 17:20:28
10,,,,3,363,0,Followed,Following,2019-08-26 17:31:56,2019-08-26 17:31:56
11,143.0,,I have learnt how to publish an article and How to use Doc and to create a blog,2191,2191,0,Commented,Post,2019-08-26 17:44:23,2019-08-26 17:44:23
12,371.0,,That's awesome,9,3,1,Commented,Post,2019-08-26 18:15:45,2019-08-27 10:15:03
13,,,,834,856,0,Followed,Following,2019-08-26 18:32:35,2019-08-26 18:32:35
14,,,,2240,59,0,Followed,Following,2019-08-26 19:11:53,2019-08-26 19:11:53
15,371.0,,"wait, this works?",6,3,1,Commented,Post,2019-08-26 20:09:39,2019-08-27 10:15:03
16,371.0,,uhm... not really...,6,3,1,Commented,Post,2019-08-26 20:09:58,2019-08-27 10:15:03
17,,,,492,6,1,Followed,Following,2019-08-26 20:15:25,2019-08-26 22:39:57
18,,,,2245,6,1,Followed,Following,2019-08-26 20:15:44,2019-08-26 22:39:57
19,,,,1051,6,1,Followed,Following,2019-08-26 20:16:39,2019-08-26 22:39:57
20,,,,710,6,1,Followed,Following,2019-08-26 20:19:29,2019-08-26 22:39:57
21,,,,1043,11,0,Followed,Following,2019-08-26 20:22:22,2019-08-26 20:22:22
22,,,,868,6,1,Followed,Following,2019-08-26 20:24:41,2019-08-26 22:39:57
23,,,,612,6,1,Followed,Following,2019-08-26 20:28:59,2019-08-26 22:39:57
24,,,,847,6,1,Followed,Following,2019-08-26 20:29:07,2019-08-26 22:39:57
25,,,,1731,6,1,Followed,Following,2019-08-26 20:33:34,2019-08-26 22:39:57
26,371.0,,But my posts are nowhere to be found. Excellent work boss... Kudos!!,489,3,1,Commented,Post,2019-08-26 20:41:27,2019-08-27 10:15:03
27,,,,242,6,1,Followed,Following,2019-08-26 20:47:23,2019-08-26 22:39:57
28,,,,1864,1147,0,Followed,Following,2019-08-26 20:56:48,2019-08-26 20:56:48
29,,,,1864,118,0,Followed,Following,2019-08-26 20:57:56,2019-08-26 20:57:56
30,,,,439,2218,0,Followed,Following,2019-08-26 21:50:51,2019-08-26 21:50:51
31,,,,439,2218,0,Followed,Following,2019-08-26 21:50:55,2019-08-26 21:50:55
32,,,,192,6,1,Followed,Following,2019-08-26 22:36:03,2019-08-26 22:39:57
33,,,,550,6,1,Followed,Following,2019-08-26 22:54:31,2019-08-27 08:23:47
34,371.0,,"Yay, a comment section too. Nice job",550,3,1,Commented,Post,2019-08-26 22:55:17,2019-08-27 10:15:03
35,,,,1801,922,0,Followed,Following,2019-08-26 23:23:49,2019-08-26 23:23:49
36,,,,1340,738,0,Followed,Following,2019-08-27 00:21:36,2019-08-27 00:21:36
37,,,,1340,101,0,Followed,Following,2019-08-27 00:21:54,2019-08-27 00:21:54
38,439.0,,Can't wait...wish notification is up and running by then. Keeping tab.,1340,6,1,Commented,Post,2019-08-27 00:23:31,2019-08-27 08:23:47
39,,,,1340,6,1,Followed,Following,2019-08-27 00:24:28,2019-08-27 08:23:47
40,,,,698,6,1,Followed,Following,2019-08-27 07:26:12,2019-08-27 08:23:47
41,,,,1318,6,0,Followed,Following,2019-08-27 08:34:32,2019-08-27 08:34:32
42,,,,1825,6,0,Followed,Following,2019-08-27 08:35:21,2019-08-27 08:35:21
43,,,,1239,6,0,Followed,Following,2019-08-27 08:36:08,2019-08-27 08:36:08
44,,,,1098,6,0,Followed,Following,2019-08-27 08:36:41,2019-08-27 08:36:41
45,,,,1010,6,0,Followed,Following,2019-08-27 08:36:51,2019-08-27 08:36:51
46,,,,669,458,0,Followed,Following,2019-08-27 08:36:59,2019-08-27 08:36:59
47,,,,669,458,0,Followed,Following,2019-08-27 08:37:02,2019-08-27 08:37:02
48,,,,47,6,0,Followed,Following,2019-08-27 08:37:07,2019-08-27 08:37:07
49,,,,669,458,0,Followed,Following,2019-08-27 08:37:09,2019-08-27 08:37:09
50,,,,377,6,0,Followed,Following,2019-08-27 08:37:45,2019-08-27 08:37:45
51,,,,2234,6,0,Followed,Following,2019-08-27 08:38:18,2019-08-27 08:38:18
52,,,,2234,6,0,Followed,Following,2019-08-27 08:38:26,2019-08-27 08:38:26
53,,,,620,6,0,Followed,Following,2019-08-27 08:38:27,2019-08-27 08:38:27
54,,,,129,6,0,Followed,Following,2019-08-27 08:38:30,2019-08-27 08:38:30
55,,,,2234,6,0,Followed,Following,2019-08-27 08:38:31,2019-08-27 08:38:31
56,,,,2234,6,0,Followed,Following,2019-08-27 08:38:32,2019-08-27 08:38:32
57,,,,2234,6,0,Followed,Following,2019-08-27 08:38:34,2019-08-27 08:38:34
58,,,,2234,6,0,Followed,Following,2019-08-27 08:38:34,2019-08-27 08:38:34
59,,,,2234,6,0,Followed,Following,2019-08-27 08:38:36,2019-08-27 08:38:36
60,,,,2234,6,0,Followed,Following,2019-08-27 08:38:37,2019-08-27 08:38:37
61,,,,2234,6,0,Followed,Following,2019-08-27 08:38:41,2019-08-27 08:38:41
62,,,,2234,6,0,Followed,Following,2019-08-27 08:38:42,2019-08-27 08:38:42
63,,,,2234,6,0,Followed,Following,2019-08-27 08:38:43,2019-08-27 08:38:43
64,,,,2234,6,0,Followed,Following,2019-08-27 08:38:44,2019-08-27 08:38:44
65,,,,2234,6,0,Followed,Following,2019-08-27 08:38:46,2019-08-27 08:38:46
66,,,,2234,6,0,Followed,Following,2019-08-27 08:38:46,2019-08-27 08:38:46
67,,,,2271,6,0,Followed,Following,2019-08-27 08:38:48,2019-08-27 08:38:48
68,,,,2234,6,0,Followed,Following,2019-08-27 08:38:49,2019-08-27 08:38:49
69,,,,2234,6,0,Followed,Following,2019-08-27 08:38:50,2019-08-27 08:38:50
70,,,,2234,6,0,Followed,Following,2019-08-27 08:38:51,2019-08-27 08:38:51
71,,,,2234,6,0,Followed,Following,2019-08-27 08:38:53,2019-08-27 08:38:53
72,,,,2234,6,0,Followed,Following,2019-08-27 08:38:55,2019-08-27 08:38:55
73,,,,2234,6,0,Followed,Following,2019-08-27 08:39:02,2019-08-27 08:39:02
74,,,,2271,6,0,Followed,Following,2019-08-27 08:39:10,2019-08-27 08:39:10
75,,,,2234,6,0,Followed,Following,2019-08-27 08:39:13,2019-08-27 08:39:13
76,,,,2234,6,0,Followed,Following,2019-08-27 08:39:14,2019-08-27 08:39:14
77,,,,2234,6,0,Followed,Following,2019-08-27 08:39:47,2019-08-27 08:39:47
78,,,,1276,6,0,Followed,Following,2019-08-27 08:40:59,2019-08-27 08:40:59
79,,,,1886,6,0,Followed,Following,2019-08-27 08:41:59,2019-08-27 08:41:59
80,371.0,,Good to see the comment section,352,3,1,Commented,Post,2019-08-27 08:43:48,2019-08-27 10:15:03
81,,,,326,6,0,Followed,Following,2019-08-27 08:44:26,2019-08-27 08:44:26
82,,,,432,6,0,Followed,Following,2019-08-27 08:44:51,2019-08-27 08:44:51
83,,,,1030,6,0,Followed,Following,2019-08-27 08:45:05,2019-08-27 08:45:05
84,,,,410,6,0,Followed,Following,2019-08-27 08:46:10,2019-08-27 08:46:10
85,,,,447,6,0,Followed,Following,2019-08-27 08:48:13,2019-08-27 08:48:13
86,,,,1255,6,0,Followed,Following,2019-08-27 08:49:51,2019-08-27 08:49:51
87,,,,619,6,0,Followed,Following,2019-08-27 08:53:04,2019-08-27 08:53:04
88,,,,630,6,0,Followed,Following,2019-08-27 08:54:03,2019-08-27 08:54:03
89,,,,1947,6,0,Followed,Following,2019-08-27 08:55:02,2019-08-27 08:55:02
90,,,,1947,6,0,Followed,Following,2019-08-27 08:55:07,2019-08-27 08:55:07
91,,,,1947,6,0,Followed,Following,2019-08-27 08:55:09,2019-08-27 08:55:09
92,,,,1947,6,0,Followed,Following,2019-08-27 08:55:16,2019-08-27 08:55:16
93,,,,1947,6,0,Followed,Following,2019-08-27 08:55:20,2019-08-27 08:55:20
94,,,,1947,6,0,Followed,Following,2019-08-27 08:55:21,2019-08-27 08:55:21
95,,,,1947,6,0,Followed,Following,2019-08-27 08:55:22,2019-08-27 08:55:22
96,,,,175,6,0,Followed,Following,2019-08-27 08:56:31,2019-08-27 08:56:31
97,,,,673,6,0,Followed,Following,2019-08-27 08:56:45,2019-08-27 08:56:45
98,,,,904,6,0,Followed,Following,2019-08-27 08:57:06,2019-08-27 08:57:06
99,,,,904,6,0,Followed,Following,2019-08-27 08:57:29,2019-08-27 08:57:29
100,,,,1862,6,0,Followed,Following,2019-08-27 09:01:15,2019-08-27 09:01:15
101,,,,1805,6,0,Followed,Following,2019-08-27 09:01:48,2019-08-27 09:01:48
102,,,,380,6,0,Followed,Following,2019-08-27 09:08:14,2019-08-27 09:08:14
103,,,,718,6,0,Followed,Following,2019-08-27 09:08:44,2019-08-27 09:08:44
104,,,,265,6,0,Followed,Following,2019-08-27 09:10:34,2019-08-27 09:10:34
105,,,,1985,6,0,Followed,Following,2019-08-27 09:11:19,2019-08-27 09:11:19
106,,,,902,6,0,Followed,Following,2019-08-27 09:13:00,2019-08-27 09:13:00
107,,,,1591,6,0,Followed,Following,2019-08-27 09:13:12,2019-08-27 09:13:12
108,,,,711,6,0,Followed,Following,2019-08-27 09:19:00,2019-08-27 09:19:00
109,,,,1550,6,0,Followed,Following,2019-08-27 09:20:28,2019-08-27 09:20:28
110,,,,895,6,0,Followed,Following,2019-08-27 09:20:42,2019-08-27 09:20:42
111,,,,1017,6,0,Followed,Following,2019-08-27 09:23:39,2019-08-27 09:23:39
112,,,,867,6,0,Followed,Following,2019-08-27 09:42:24,2019-08-27 09:42:24
113,,,,2277,6,0,Followed,Following,2019-08-27 09:43:16,2019-08-27 09:43:16
114,,,,1212,6,0,Followed,Following,2019-08-27 09:43:43,2019-08-27 09:43:43
115,,,,475,6,0,Followed,Following,2019-08-27 09:49:01,2019-08-27 09:49:01
116,,,,475,6,0,Followed,Following,2019-08-27 09:49:17,2019-08-27 09:49:17
117,,,,327,6,0,Followed,Following,2019-08-27 09:52:02,2019-08-27 09:52:02
118,,,,955,6,0,Followed,Following,2019-08-27 09:53:37,2019-08-27 09:53:37
119,375.0,,Great,352,3,1,Commented,Post,2019-08-27 09:54:36,2019-08-27 10:15:03
120,,,,352,6,0,Followed,Following,2019-08-27 10:00:20,2019-08-27 10:00:20
121,,,,352,7,0,Followed,Following,2019-08-27 10:03:04,2019-08-27 10:03:04
122,,,,1836,6,0,Followed,Following,2019-08-27 10:15:20,2019-08-27 10:15:20
123,,,,653,6,0,Followed,Following,2019-08-27 10:16:03,2019-08-27 10:16:03
124,,,,329,6,0,Followed,Following,2019-08-27 10:16:09,2019-08-27 10:16:09
125,,,,891,6,0,Followed,Following,2019-08-27 10:40:50,2019-08-27 10:40:50
126,,,,945,6,0,Followed,Following,2019-08-27 10:52:32,2019-08-27 10:52:32
127,,,,168,6,0,Followed,Following,2019-08-27 10:57:14,2019-08-27 10:57:14
128,,,,143,6,0,Followed,Following,2019-08-27 11:48:38,2019-08-27 11:48:38
129,,,,361,6,0,Followed,Following,2019-08-27 12:03:21,2019-08-27 12:03:21
130,,,,361,6,0,Followed,Following,2019-08-27 12:03:37,2019-08-27 12:03:37
131,,,,2287,6,0,Followed,Following,2019-08-27 12:22:03,2019-08-27 12:22:03
132,439.0,,Congrats,4,6,0,Commented,Post,2019-08-27 12:23:55,2019-08-27 12:23:55
133,,,,47,535,0,Followed,Following,2019-08-27 12:30:54,2019-08-27 12:30:54
134,439.0,,Congratulations are in order. It's great to be working with you on these,3,6,0,Commented,Post,2019-08-27 12:31:32,2019-08-27 12:31:32
135,,,,1101,326,0,Followed,Following,2019-08-27 13:00:37,2019-08-27 13:00:37
136,,,,1199,6,0,Followed,Following,2019-08-27 13:09:29,2019-08-27 13:09:29
137,,,,1439,1047,0,Followed,Following,2019-08-27 13:10:26,2019-08-27 13:10:26
138,,,,1439,1926,0,Followed,Following,2019-08-27 13:11:49,2019-08-27 13:11:49
139,,,,2282,6,0,Followed,Following,2019-08-27 14:15:32,2019-08-27 14:15:32
140,,,,2282,6,0,Followed,Following,2019-08-27 14:15:43,2019-08-27 14:15:43
141,,,,2228,326,0,Followed,Following,2019-08-27 14:55:09,2019-08-27 14:55:09
142,,,,24,7,0,Followed,Following,2019-08-27 14:56:04,2019-08-27 14:56:04
143,,,,916,6,0,Followed,Following,2019-08-27 15:19:34,2019-08-27 15:19:34
144,360.0,8.0,yh,4,3,1,Replied,Post,2019-08-27 15:32:51,2019-08-29 12:40:03
145,,,,4,29,1,Followed,Following,2019-08-28 17:21:17,2019-08-28 17:25:11
146,,,,29,4,1,Followed,Following,2019-08-28 17:23:09,2019-09-05 16:20:09
148,986.0,,,4,2,1,Like,Reaction,2019-08-30 10:26:54,2019-08-31 18:01:30
149,986.0,,,4,2,1,Love,Reaction,2019-08-30 10:27:06,2019-08-31 18:01:30
150,985.0,,,4,2,1,Love,Reaction,2019-08-30 10:27:08,2019-08-31 18:01:30
151,985.0,,,1,2,1,Love,Reaction,2019-08-30 10:29:21,2019-08-31 18:01:30
152,992.0,,,2,2,1,Like,Reaction,2019-08-31 12:04:31,2019-08-31 18:01:30
154,355.0,,,1,7,0,Like,Reaction,2019-08-31 17:21:21,2019-08-31 17:21:21
155,353.0,,,1,7,0,Love,Reaction,2019-08-31 17:21:24,2019-08-31 17:21:24
156,355.0,154.0,Nice,1,1,1,Replied,Post,2019-08-31 17:21:51,2019-09-07 14:44:46
157,996.0,,,1,1,1,Like,Reaction,2019-08-31 17:44:12,2019-09-07 14:44:46
158,992.0,,,9,2,1,Love,Reaction,2019-08-31 17:56:21,2019-08-31 18:01:30
159,992.0,,,9,2,1,Love,Reaction,2019-08-31 17:56:22,2019-08-31 18:01:30
160,992.0,,,9,2,1,Like,Reaction,2019-08-31 17:56:22,2019-08-31 18:01:30
161,992.0,,"Comments just spilled out here, nobody typed",9,2,1,Commented,Post,2019-08-31 17:56:53,2019-08-31 18:01:30
162,992.0,,,2,2,1,Love,Reaction,2019-08-31 18:02:26,2019-09-02 04:42:11
163,992.0,,that true,2,2,1,Commented,Post,2019-08-31 18:03:03,2019-09-02 04:42:11
164,,,,34,2,1,Followed,Following,2019-08-31 20:06:55,2019-09-02 04:42:11
171,993.0,,,34,2,1,Love,Reaction,2019-09-01 13:33:20,2019-09-02 04:42:11
172,993.0,,,34,2,1,Like,Reaction,2019-09-01 13:33:23,2019-09-02 04:42:11
173,996.0,,,3,1,1,Like,Reaction,2019-09-01 17:29:55,2019-09-07 14:44:46
174,996.0,,,3,1,1,Love,Reaction,2019-09-01 17:29:57,2019-09-07 14:44:46
175,998.0,,,9,2,1,Like,Reaction,2019-09-02 15:56:51,2019-09-02 16:38:17
177,998.0,,,3,2,1,Love,Reaction,2019-09-03 02:25:12,2019-09-04 13:29:22
178,995.0,,,3,1,1,Love,Reaction,2019-09-03 02:25:57,2019-09-07 14:44:46
179,998.0,,i wish there was smthn better,2,2,1,Commented,Post,2019-09-04 13:37:44,2019-09-07 14:44:55
180,999.0,,Good,4,4,1,Commented,Post,2019-09-05 10:24:34,2019-09-05 16:20:09
181,998.0,,Test,3,2,1,Commented,Post,2019-09-05 11:37:26,2019-09-07 14:44:55
182,998.0,,Another test,3,2,1,Commented,Post,2019-09-05 11:37:34,2019-09-07 14:44:55
183,993.0,,Hi,2,2,1,Commented,Post,2019-09-05 12:50:42,2019-09-07 14:44:55
184,998.0,,all set,2,2,1,Commented,Post,2019-09-05 16:16:13,2019-09-07 14:44:55
185,1007.0,,test,3,3,0,Commented,Post,2019-09-06 18:40:19,2019-09-06 18:40:19
186,1007.0,,testt,3,3,0,Commented,Post,2019-09-06 18:40:24,2019-09-06 18:40:24
187,1007.0,186.0,test,3,3,0,Replied,Post,2019-09-06 18:40:29,2019-09-06 18:40:29
188,1007.0,186.0,testr,3,3,0,Replied,Post,2019-09-06 18:40:38,2019-09-06 18:40:38
189,998.0,182.0,Oya tester,4,3,0,Replied,Post,2019-09-07 09:33:29,2019-09-07 09:33:29
190,1002.0,,just some funny comment,22,22,0,Commented,Post,2019-09-07 09:43:20,2019-09-07 09:43:20
191,1002.0,190.0,I just replied you,22,22,0,Replied,Post,2019-09-07 09:43:38,2019-09-07 09:43:38
193,993.0,,,4,2,1,Like,Reaction,2019-09-07 14:30:13,2019-09-07 14:44:55
194,983.0,,,4,2,1,Like,Reaction,2019-09-07 14:30:15,2019-09-07 14:44:55
195,983.0,,,4,2,1,Love,Reaction,2019-09-07 14:30:16,2019-09-07 14:44:55
197,985.0,,,2,2,1,Like,Reaction,2019-09-07 14:30:25,2019-09-07 14:44:55
198,985.0,,,2,2,1,Love,Reaction,2019-09-07 14:30:26,2019-09-07 14:44:55
199,999.0,,,1,4,1,Like,Reaction,2019-09-07 14:44:58,2019-09-07 16:48:04
202,1007.0,,,3,3,0,Like,Reaction,2019-09-07 14:45:08,2019-09-07 14:45:08
216,998.0,,,2,2,0,Like,Reaction,2019-09-07 16:33:27,2019-09-07 16:33:27
219,999.0,,,4,4,1,Like,Reaction,2019-09-07 17:11:26,2019-09-19 12:18:38
222,998.0,,,4,2,0,Love,Reaction,2019-09-07 17:11:41,2019-09-07 17:11:41
